id,specific_event,abstract_event,trigger
1983,当时目击者称,声明,称
1984,一辆从黄岩开往宁溪的大客车一辆普桑轿车北洋镇官岙村拱沿线21公里处路段一转弯处碰撞,动作,碰撞
1985,轿车内的司机奄奄一息,状态变化,奄奄一息
1986,黄岩区北洋镇派出所民警当地交警赶到现场,移动,赶到
1987,轿车内另一名乘客送医院,移动,送
1988,另两人送到医院,移动,送到
1989,近30个座位的大客车侧翻水田,动作,侧翻
1990,车头左侧受损,状态变化,受损
1991,目前警方事件原因调查,操作,调查
1992,今视网3月12日南昌讯,声明,讯
1993,11日晚南昌市坛子口立交三层交通事故,紧急情况,交通事故
1994,一名酒驾男子开车,动作,开车
1995,被另一辆车的车主识破,动作,识破
1996,并欲借“小便”为名,动作,借
1997,据南昌市青云谱交警大队处理事故,操作,处理
1998,昨晚21时许接110指挥中心,动作,接
1999,在省城坛子口立交三层处两车相刮,动作,相刮
2000,交警赶往现场,移动,赶往
2001,告知双方驾驶员,动作,告知
2002,�缡�驾驶证和行驶证,动作,�缡�
2003,将事故车辆停放不影响交通的地方,动作,停放
2004,处理事故民警,操作,处理
2005,因该男子一身酒气另一方女司机闻到,动作,闻到
2006,于是将其带往九四医院,移动,带往
2007,收缴该车钥匙,操作,收缴
2008,后该男子坛子口立交桥下上厕所,操作,上厕所
2009,后往解放西路逃跑,动作,逃跑
2010,男子民警抓获,动作,抓获
2011,目前民警等待验血报告,动作,等待
2012,将处暂扣六个月机动车驾驶证,操作,暂扣
2013,并处一千元以上二千元以下罚款,操作,罚款
2014,若醉酒驾驶机动车,操作,醉酒驾驶
2015,将吊销机动车驾驶证,动作,吊销
2016,追究刑事责任,操作,追究
2017,五年内取得机动车驾驶证,操作,取得
2018,新华网南宁12月7日电,声明,电
2019,记者7日11时许广西河池市南丹县宣传部门了解,声明,了解
2020,7日6时左右当地车河工业园区约1公里处车祸,紧急情况,车祸
2021,一辆往南丹方向的贵州大客车大货车相撞,动作,相撞
2022,初步核实48人,动作,核实
2023,当地宣传部门人员介绍,声明,介绍
2024,大客车翻公路右侧10多米深的山沟,动作,翻
2025,6人当场死亡,状态变化,死亡
2026,救援人员赶到,移动,赶到
2027,从客车上拉出4具遗体,动作,拉出
2028,另两具遗体困客车上,状态变化,困
2029,救援人员客车上受伤者施救,动作,施救
2030,目前遇难者遗体拉走,移动,拉走
2031,伤员客车上转移,移动,转移
2032,送往附近医院,移动,送往
2033,其他未受伤人员安置当地交通宾馆,操作,安置
2034,救援人员增加吊车,动作,增加
2035,组织施吊客车,操作,施吊
2036,并与贵州客车方对接,动作,对接
2037,中新网唐山11月27日电,声明,电
2038,记者今天唐山交警支队获悉,感知,获悉
2039,二十六日晚七时许唐山境内交通事故,紧急情况,交通事故
2040,一大货车一辆小轿车相撞,动作,相撞
2041,造成两人死亡,状态变化,死亡
2042,事故唐钱路后于家店附近,紧急情况,事故
2043,据交警事故调查报告显示,动作,显示
2044,大货车司机当时驾车,动作,驾车
2045,一辆伊兰特轿车冲,动作,冲
2046,撞大货车的一侧,动作,撞
2047,又撞路边的大树,动作,撞
2048,据现场处理事故的交警介绍,声明,介绍
2049,事故现场伊兰特轿车大货车撞,动作,撞
2050,二人当场死亡,状态变化,死亡
2051,现已被送到医院,移动,送到
2052,11日下午兴义往安龙方向高速路顶效二号隧道交通事故,紧急情况,交通事故
2053,一辆面包车货车追尾,动作,追尾
2054,消防官兵20多分钟救援,操作,救援
2055,面包车司机身亡,状态变化,身亡
2056,当日16时05分兴义大道中队接到指挥中心,动作,接到
2057,在兴义往安龙方向高速路顶效二号隧道交通事故,紧急情况,交通事故
2058,有一名司机困,状态变化,困
2059,兴义大道中队出动,动作,出动
2060,1车5名官兵赶往现场,移动,赶往
2061,16时16分消防救援官兵赶到现场,移动,赶到
2062,一辆面包车前面的一辆货车追尾,动作,追尾
2063,面包车司机变形车厢,状态变化,变形
2064,在消防官兵赶到现场,移动,赶到
2065,消防官兵撬棍、液压扩张钳二十多分钟司机抬出,动作,抬出
2066,具体事故原因相关部门调查,动作,调查
2067,高速路半个小时堵车,状态变化,堵车
2068,8月5日中午2点10分重庆财富中心斜对面十字路口交通事故,紧急情况,交通事故
2069,车牌号为渝A23225的水泥罐车翻路口中央,动作,翻
2070,紧紧压住一辆白色蒙迪欧,动作,压住
2071,前天凌晨3点左右通州区通燕高速出京方向宋庄出口处一辆面包车超车,动作,超车
2072,导致车上两人受伤,状态变化,受伤
2073,其中一人甩出,动作,甩出
2074,新华街消防中队赶到现场,移动,赶到
2075,一辆大货车停高速路中间,动作,停
2076,一辆面包车侧翻,动作,侧翻
2077,大货车司机刘先生说,声明,说
2078,他高速路行驶,移动,行驶
2079,一辆银灰色小面包车超车,动作,超车
2080,将两名伤者送附近医院,移动,送
2081,被甩出的男乘客医院治疗,操作,治疗
2082,晨报河北专讯,声明,专讯
2083,8月21日7时40分左右307国道河北省黄骅市一个路口两辆客车相撞,动作,相撞
2084,中新网4月7日电,声明,电
2085,4月4日晚上7时30分左右湖南长潭高速公路6车相撞,动作,相撞
2086,长株潭三地消防部门出动消防车21台警力100余人,操作,出动
2087,消防官兵近2个小时扑救,操作,扑救
2088,中新社南宁三月二十七日电,声明,电
2089,一辆从贵州广东小车一辆大客车相撞,动作,相撞
2090,造成小车上包括司机在内的六男四女共十人当场死亡,状态变化,死亡
2091,两男子受重伤,状态变化,受重伤
2092,今日凌晨广西柳州市鹿寨县寨沙镇交通事故,紧急情况,交通事故
2093,造成十人当场死亡,状态变化,死亡
2094,凌晨六时四十分左右三二三国道九百四十八公里处一辆粤籍大客车旅行小客车交会,动作,交会
2095,造成小客上的十二名旅客中的十人当场死亡,状态变化,死亡
2096,中新网驻马店12月14日电,声明,电
2097,14日记者河南省驻马店市驿城区委宣传部获悉,声明,获悉
2098,该区13日货车相撞,动作,相撞
2099,承载学生客车超载19人,状态变化,超载
2100,两名司机拘留,动作,拘留
2101,13日上午河南省驻马店市驿城区古城乡中学组织学生,动作,组织
2102,到驻马店市智明教育培训基地,移动,到
2103,开展社会实践活动,动作,开展
2104,8点50分左右客车行驶铜山大道与香山路口交汇处,移动,行驶
2105,与一辆由北向南行使的豫LA3369重型自卸货车碰撞,动作,碰撞
2106,造成宇通客车受损,状态变化,受损
2107,车上两名学生当场死亡,状态变化,死亡
2108,25名师生受伤,状态变化,受伤
2109,14日驻马店市驿城区委宣传部说,声明,说
2110,经当地公安交警部门侦查,动作,侦查
2111,承载学生的宇通客车核载47人,声明,核载
2112,货车司机陈新峰涉嫌交通肇事罪,动作,涉嫌
2113,宇通客车司机周国忠涉嫌重大责任事故罪,动作,涉嫌
2114,>目前事故救治,操作,救治
2115,中广网银川11月29日消息,声明,消息
2116,"宁夏固原因受雨夹雪天气影响,上午约九时左右312国道固原汽车站附近路段三辆车相撞",动作,相撞
2117,据现场救援人员介绍,声明,介绍
2118,第一辆停靠路边,动作,停靠
2119,修理中巴客车,操作,修理
2120,中间一辆是装有化学危险品苯槽车,声明,装有
2121,后面一辆装有大米的货车车头起火,动作,起火
2122,货车驾驶位和副驾驶位两人死亡,状态变化,死亡
2123,消防官兵冷却、稀释处理,操作,处理
2124,已经将明火扑灭,动作,扑灭
2125,目前路政吊车事故车辆清障,动作,清障
2126,没有引起人员恐慌,感知,恐慌
2127,所在路段封锁,动作,封锁
2128,12日早7时许208国道乌兰察布市察哈尔右翼后旗大陆号收费站北1.5公里处交通事故,紧急情况,交通事故
2129,面包车内8名乘客死亡,状态变化,死亡
2130,一辆银白色小面包车一辆解放牌大货车相撞,动作,相撞
2131,据死者家属介绍,声明,介绍
2132,欲前往察哈尔右翼前旗礼拜寺,移动,前往
2133,他们乘坐的银灰色面包车行驶,动作,行驶
2134,与一辆货车相撞,动作,相撞
2135,8名乘客当即死亡,状态变化,死亡
2136,尸体家属认领,操作,认领
2137,内蒙古交警总队及乌兰察布市交警支队工作人员赶到现场,移动,赶到
2138,事故原因核查,操作,核查
2139,昨天凌晨广州黄埔大道隧道交通事故,紧急情况,交通事故
2140,一辆悬挂假军牌的小轿车撞上一辆施工车辆,动作,撞上
2141,造成一名施工人员当场死亡,状态变化,死亡
2142,另有3人抢救,操作,抢救
2143,肇事车辆行驶,移动,行驶
2144,肇事司机所驾驶车辆的号牌及证件伪造,动作,伪造
2145,昨日记者广州市交警部门获悉,声明,获悉
2146,昨日凌晨2时15分左右一辆使用假军牌的小客车黄埔大道隧道施工车辆施工人员碰撞,动作,碰撞
2147,造成4人死亡,状态变化,死亡
2148,小客车司机酒后驾驶,动作,酒后驾驶
2149,"事发时肇事司机方某/(男,30岁,广州人)驾驶一辆悬挂部队号牌小客车",操作,驾驶
2150,沿黄埔大道由东往西行驶黄埔大道隧道路段,移动,行驶
2151,碰撞工作人员施工车辆,动作,碰撞
2152,造成施工人员1人当场死亡,状态变化,死亡
2153,肇事司机方某所驾驶小客车的号牌及证件伪造,动作,伪造
2154,目前肇事司机方某警方拘留,动作,拘留
2155,市公安交警部门表示,声明,表示
2156,将进一步加大对涉牌涉证车辆和酒后驾驶等严重交通违法行为整治,动作,整治
2157,在此也再次提醒广大驾驶员,动作,提醒
2158,碧海银沙网讯,声明,讯
2159,今天(17日)下午梁姓、李姓、苏姓、陈姓、吴姓等市民来电,操作,来电
2160,说赤坎椹川大道北交通事故,紧急情况,交通事故
2161,>“巡城马”采访,操作,采访
2162,一辆“鱼峰”大型水泥搅拌车行至椹川大道北,移动,行至
2163,一骑自行车老人小女孩水泥和石子埋,动作,埋
2164,一骑电动车妇女车头撞,动作,撞
2165,被车轧住右脚,动作,轧住
2166,事故椹川大道北与康强路交汇处,紧急情况,事故
2167,据不少目击者介绍,声明,介绍
2168,下午两点半左右“鱼峰”大型水泥搅拌车椹川大道北右转康强路侧翻倒地,操作,侧翻倒地
2169,车上水泥和石子倾泻路面,操作,倾泻
2170,令人惨不忍睹的是:整车翻倒,操作,翻倒
2171,先是车头撞上妇女,动作,撞上
2172,车身及倾泻的水泥老人小女孩埋,动作,埋
2173,老人和小女孩当场死亡,状态变化,死亡
2174,司机敲碎车窗,动作,敲碎
2175,"市、赤坎区公安,交警、消防处置",操作,处置
2176,骑电动车妇女送到医院,移动,送到
2177,又调来4辆大型吊车,操作,调来
2178,水泥搅拌车吊起,操作,吊起
2179,被轧的老人和小女孩救,操作,救
2180,但最终无法救回生命,操作,救回
2181,目前事故原因侦察,操作,侦察
2182,当日云南石林风景区至昆明的高速公路6起交通事故,紧急情况,6起交通事故
2183,21辆汽车相撞,动作,相撞
2184,已造成至少1人死亡,状态变化,死亡
2185,昨天凌晨5点半工人体育场北路一辆三菱跑车撞到路中央的护栏,动作,撞到
2186,四轮朝天翻倒在路上,动作,翻倒
2187,车内一人面部受伤,状态变化,受伤
2188,10余米长的一段隔离护栏撞倒,状态变化,撞倒
2189,肇事的红色三菱跑车躺地上,动作,躺
2190,跑车前部受损,状态变化,受损
2191,车内的一些物品甩到路上,动作,甩
2192,现场周围道路拥堵,状态变化,拥堵
2193,两名交警现场疏导,操作,疏导
2194,目击者周先生说,声明,说
2195,凌晨5点半他家中听见,感知,听见
2196,一辆跑车翻倒在路中央,状态变化,翻倒
2197,车里两名女子爬出,动作,爬出
2198,其中一人捂右脸,动作,捂
2199,随后两名女子送到武警医院,移动,送到
2200,昨日清晨7时许新312国道锡沪路段交通事故,紧急情况,交通事故
2201,一辆卡车一辆面包车追尾,紧急情况,追尾
2202,事故共造成车内1人死亡,状态变化,死亡
2203,其余7人受伤,状态变化,受伤
2204,下午5点发稿,动作,发稿
2205,7名伤员中有1人抢救,操作,抢救
2206,受轻伤的卡车司机说,声明,说
2207,不知怎么回事两车撞,动作,撞
2208,面包车里的受伤乘客说,声明,说
2209,一早张泾出发,动作,出发
2210,伤员立即送往锡山人民医院,移动,送往
2211,前日凌晨汉宜线京山段交通事故,紧急情况,交通事故
2212,一辆三轮车大货车相撞,动作,相撞
2213,天门市石河镇的8名妇女前日相约,动作,相约
2214,一起到京山县的雁门口打零工,操作,打零工
2215,帮当地的农户摘花生,动作,摘
2216,当晚请一辆货三轮,动作,请
2217,送她们京山雁门口,移动,送
2218,前日凌晨4时左右8名妇女上货三轮,动作,上
2219,当车行至汉宜线京山钱场段(107省道)97kM+650M处京山籍大货车相撞,动作,相撞
2220,当时觉得一阵轰响,感知,觉得
2221,随后失去知觉,状态变化,失去
2222,伤势较轻的龚小香回忆,动作,回忆
2223,三轮车翻到路边,动作,翻
2224,4名同伴当场死亡,状态变化,死亡
2225,另两名同伴重伤,状态变化,重伤
2226,路过的司机拨打110,动作,拨打
2227,"随后,京山交警赶到现场",移动,赶到
2228,将伤势较重的王某贾某送入当地医院,移动,送入
2229,日前肇事大货车司机和货三轮司机警方控制,操作,控制
2230,中新网荆门10月13日电,声明,电
2231,13日凌晨3时40分许二广高速1738公里+800米处湖北省荆门市沙洋县纪山镇付场村路段大客车车祸,紧急情况,车祸
2232,客车翻覆高速护栏下,动作,翻覆
2233,导致34人受伤,状态变化,受伤
2234,其中危重2人,声明,危重
2235,据参加现场救助的湖北省沙洋县宣传部副部长段红蕾介绍,声明,介绍
2236,事发地湖北荆门市副市长周松青沙洋县委书记梁早阳赶到现场,移动,赶到
2237,组织当地公安、消防、卫生等部门施救,动作,施救
2238,34名伤者中除两人送往荆门市石化医院,动作,送往
2239,其他全部送往,移动,送往
2240,34名伤者中有重伤8人,状态变化,重伤
2241,据现场施救的湖北高警总队三支队支队长韩介绍,声明,介绍
2242,事发时北京开往张家界,移动,开往
2243,当时大客车过中央隔离带,移动,过
2244,再冲开对向车道护栏,动作,冲开
2245,客车事发时载客49人,动作,载客
2246,截止记者发稿时伤员送往,移动,送往
2247,高警路政人员清理现场,动作,清理
2248,二广高速事发地段通行,动作,通行
2249,新华网合肥10月8日电,声明,电
2250,"记者从合肥市交警部门获悉,8日凌晨合(合肥)宁(南京)高速公路一辆货车一辆大客车相撞",动作,相撞
2251,这起事故已造成5人死亡,状态变化,死亡
2252,据处理事故的合肥市交警支队高速公路一大队交警介绍,声明,介绍
2253,10月8日凌晨2时许大货车行经合宁高速公路(合肥-南京)15KM+600M处,动作,行经
2254,与来自河南省信阳市的一辆大客车相撞,动作,相撞
2255,目前5人死亡,状态变化,死亡
2256,合肥市委市政府重视,状态变化,重视
2257,市政府分管领导率市公安、安监、卫生等部门主要负责人第一时间赶赴现场,移动,赶赴
2258,并到医院看望事故中受伤人员,操作,看望
2259,同时要求市有关部门救治受伤人员,操作,救治
2260,立即开始事故调查,操作,调查
2261,认真做好善后工作,操作,做好
2262,8月23日上午9时40分京沪高速公路沧州服务区附近一辆由北向南行驶的金杯面包车撞高速公路护栏,动作,撞
2263,车上5名清华大学博士后研究人员1名司机受伤,状态变化,受伤
2264,被紧急送往沧州二医院,移动,送往
2265,仍有一名张姓博士后研究人员脱离危险,状态变化,脱离
2266,7月14日晚22时30分澄城县古徽街九路口交通事故,紧急情况,交通事故
2267,该县工商局一名工作人员驾驶的一辆面包车一辆摩托车相撞,动作,相撞
2268,7月14日晚22时30分左右澄城县古徽街九路口白色面包车一辆摩托车相撞,动作,相撞
2269,将摩托司机压车下,动作,压
2270,面包车司机马正平张某和殷某重伤,状态变化,重伤
2271,民警120急救车赶到现场,移动,赶到
2272,三名伤者送到澄城县人民医院,移动,送到
2273,马正平与殷某死亡,状态变化,死亡
2274,昨日下午澄城县人民医院医务人员告诉记者,声明,告诉
2275,7月14日晚上22时、7月15日凌晨5时马正平与殷某死亡,状态变化,死亡
2276,8月21日7时40分307国道河北黄骅市滕庄子乡康庄子路口一辆大客车一辆中巴客车相撞,动作,相撞
2277,截至昨日18时9人死亡,状态变化,死亡
2278,另有52人受伤,状态变化,受伤
2279,目前这些伤者医院救治,操作,救治
2280,昨晨大兴亦庄开发区一路口车祸,紧急情况,车祸
2281,一辆摩托车货车相撞,动作,相撞
2282,造成摩托车上人员一死,状态变化,死
2283,事故同济南路与景园街相交的十字路口处,紧急情况,事故
2284,目击者张先生说,声明,说
2285,早上7点半左右一辆摩托车一辆路过大货车相撞,动作,相撞
2286,摩托车上两人摔,动作,摔
2287,两人当时戴头盔,动作,戴
2288,南海网12月9日消息,声明,消息
2289,12月9日下午3时左右海文高速公路文昌至海口方向37公里处交通事故,紧急情况,交通事故
2290,9日下午2时55分文昌市公安消防支队接到命令,动作,接到
2291,在>海文高速文昌至海口方向37公里处小汽车交通事故,紧急情况,交通事故
2292,车上8名乘客困,状态变化,困
2293,下午3时42分文昌消防支队官兵到达现场,移动,到达
2294,2名儿童6名成人受伤,状态变化,受伤
2295,所有受困人员解救,操作,解救
2296,目前事故发生的具体原因交警部门调查,操作,调查
2297,昨天中午北六环内环酸枣岭桥西3公里处一辆奔驰一辆斯柯达追尾,动作,追尾
2298,先后与邻近车道上的两辆货车相撞,动作,相撞
2299,奔驰司机轻伤,状态变化,轻伤
2300,北六环内环方向交通拥堵两个多小时,状态变化,拥堵
2301,昨天中午12点左右一辆奔驰车中间车道行驶,移动,行驶
2302,“砰”的一声与前方一辆斯柯达追尾,动作,追尾
2303,并入内侧车道,动作,并入
2304,又与两辆货车相撞,动作,相撞
2305,4辆车横路中央,动作,横
2306,过往车辆避让,动作,避让
2307,4辆车司机下车,动作,下车
2308,奔驰司机头部流血,状态变化,流血
2309,随后多名交警赶到,移动,赶到
2310,将北六环内环方向封锁,动作,封锁
2311,昨天下午1点半队伍延至百善桥,声明,延至
2312,斯柯达停路旁,动作,停
2313,几名道路养护工人清理柴油碎玻璃,操作,清理
2314,现场交警表示,声明,表示
2315,昨天下午2点多路面清理,操作,清理
2316,北六环内环交通恢复,状态变化,恢复
2317,中新社杭州十二月四日电,声明,电
2318,今日上午八时三十分许浙江杭金衢高速公路诸暨段重大交通事故,紧急情况,重大交通事故
2319,三十三辆车相撞,动作,相撞
2320,一千余辆过往车辆滞留,状态变化,滞留
2321,事发后高速交警消防官兵医务人员被因人员救出,操作,救出
2322,一现场救援人员称,声明,称
2323,高速公路近五百余辆汽车排,动作,排
2324,准备上高速的几百辆汽车滞留,状态变化,滞留
2325,交通一时瘫痪,状态变化,瘫痪
2326,目前相关部门事故原因调查处理,操作,调查处理
2327,中新浙江网8月26日电,声明,电
2328,8月26日早上23省道富阳市新登镇军堰村附近两辆机动车相撞,动作,相撞
2329,2人当场死亡,状态变化,死亡
2330,杭州市公安局、卫生局、安监局和富阳市委、市政府及公安、有关乡镇的负责人赶赴现场,移动,赶赴
2331,并对下一步的工作部署,操作,部署
2332,杭州市蔡奇指示,操作,指示
2333,富阳市抢救重伤人员,操作,抢救
2334,做好善后工作,操作,做好
2335,查明事故原因,操作,查明
2336,当天早上8时20分左右吴某驾驶一辆丰田轿车,操作,驾驶
2337,由富阳驶往新登,移动,驶往
2338,途经23省道16公里720米附近,移动,途经
2339,轿车翻过花坛,动作,翻过
2340,对向车道相对方向行驶的叶某某驾驶的金龙牌大客车相撞,动作,相撞
2341,造成驾驶人吴某1名乘客当场死亡,状态变化,死亡
2342,4名乘客受伤,状态变化,受伤
2343,另1名坐在轿车内的乘客死亡,状态变化,死亡
2344,引起了各级领导政府部门重视,状态变化,重视
2345,杭州市公安局党委副书记、常务副局长郑贤胜抢救现场指出,声明,指出
2346,不惜一切代价抢救伤员,操作,抢救
2347,有关部门查明事故原因,操作,查明
2348,依法、客观、公正明确界定事故责任,操作,界定
2349,强化主体责任,状态变化,强化
2350,从源头上加强交通安全管理,状态变化,加强
2351,富阳市委常委、常务副市长汤金华要求,声明,要求
2352,富阳市有关部门做好善后工作,操作,做好
2353,千方百计地抢救伤员,操作,抢救
2354,调查事故原因,操作,调查
2355,目前公安机关事故调查,操作,调查
2356,中安在线7月7日讯,声明,讯
2357,7月7日下午省城徽州大道2公里牌石处交通事故,紧急情况,交通事故
2358,两辆货车相碰,动作,相碰
2359,导致6人死亡,状态变化,死亡
2360,市公安局交警支队三大队6、滨湖中队接到报警,动作,接到
2361,紧急展开工作,操作,展开
2362,合肥市政府市公安局有关领导重视,状态变化,重视
2363,分别赶往事故现场,移动,赶往
2364,责成有关部门,声明,责成
2365,妥善处理善后事宜,操作,处理
2366,当日下午2时14分许杜中伟驾驶货车,动作,驾驶
2367,沿徽州大道行驶徽州大道与方二路口南100米处,动作,行驶
2368,长丰县造甲乡驾驶人尹卫国驾驶货车,动作,驾驶
2369,由南向北逆向停在西侧路边道路施工,操作,施工
2370,另有11人受伤,状态变化,受伤
2371,皖A6A843号江淮牌轻型厢式货车上1死,状态变化,死
2372,目前合肥市第三人民医院收治7名伤者,操作,收治
2373,武警医院南区收治4名伤者,状态变化,收治
2374,据交警三大队事故处理人员判断,感知,判断
2375,皖A6A843货车驾驶人超速,动作,超速
2376,目前这起交通事故处理,操作,处理
2377,中新社西安十月十日电,声明,电
2378,记者陕西有关部门获悉,感知,获悉
2379,刚刚开通不久的西(安)至汉(中)高速公路八日交通事故,紧急情况,交通事故
2380,三十多辆车相撞,动作,相撞
2381,西汉高速公路中断超过三十个小时,状态变化,中断
2382,二00二年九月开工西(安)汉(中)高速公路,操作,开工
2383,今年九月三十日通车,状态变化,通车
2384,十月八日西汉高速汉中到西安方向涝峪段交通事故,紧急情况,交通事故
2385,造成三十多辆车相撞,动作,相撞
2386,西汉高速公路汉中到西安方向路段中断,状态变化,中断
2387,十月八日西汉高速公路大货车放行,状态变化,放行
2388,大批大货车进入高速路,动作,进入
2389,一些司机驾车,操作,驾车
2390,记者陕西省高速集团了解,感知,了解
2391,西安到汉中高速公路八日中午实行单幅通行,操作,实行
2392,大量从汉中前往西安车辆,移动,前往
2393,滞留汉中龙亭收费站附近路面上超过三十小时,动作,滞留
2394,新华网9月10日电,声明,电
2395,9月10日6时许塔里木沙漠公路伴行路交通事故,紧急情况,交通事故
2396,一辆小轿车一辆小客车相撞,操作,相撞
2397,2名司机受伤,状态变化,受伤
2398,记者新疆公安厅交警部门了解,感知,了解
2399,10日上午小轿车塔里木油田轮南镇至库尔勒市管道检修伴行公路72公里小客车相撞,动作,相撞
2400,4名女性死亡,状态变化,死亡
2401,两车司机受伤,状态变化,受伤
2402,巴音郭楞蒙古自治州党委、人民政府迅速派出由公安、安监等部门组成的工作组赶赴现场,移动,赶赴
2403,立即受伤人员送往医院,移动,送往
2404,中新网4月15日电,声明,电
2405,"据中国消防在线消息,4月14日京珠高速郑州往焦作方向28公里处19车连撞",动作,连撞
2406,50余人被困,状态变化,被困
2407,道路堵塞5个小时,状态变化,堵塞
2408,河南焦作武陟消防官兵出动,移动,出动
2409,奋战4个小时,操作,奋战
2410,成功解救所有被困人员,操作,解救
2411,昨天下午1点多101国道密云县庄头峪村附近路段上依维柯车农用车相撞,动作,相撞
2412,事故共造成6人死亡,状态变化,死亡
2413,14人轻微伤,状态变化,轻微伤
2414,市领导相关单位负责人赶往现场,移动,赶往
2415,事发客车超载,动作,超载
2416,农用车司机警方带走,动作,带走
2417,中新网雅江11月23日电,声明,电
2418,记者23日晚间四川甘孜州政府办获悉,声明,获悉
2419,该州境内的雅江县交通事故,紧急情况,交通事故
2420,已造成17人死亡,状态变化,死亡
2421,据雅江县政府报告,声明,报告
2422,23日13时35分左右雅江县恶古乡境内一辆农用车车载19人,动作,车载
2423,致17人死亡,状态变化,死亡
2424,接到事故报告,动作,接到
2425,甘孜州委、州政府启动重大交通事故应急预案,动作,启动
2426,迅速成立工作组,操作,成立
2427,相关领导率安监、公安、卫生等工作组赶赴事故现场,移动,赶赴
2428,甘孜州相关领导采取措施,动作,采取
2429,最大限度减少伤亡,状态变化,减少
2430,迅速开展工作,动作,开展
2431,严厉追究事故责任者,动作,追究
2432,目前伤者送往雅江县医院,移动,送往
2433,甘孜州代理州长益西达瓦任赶到现场,移动,赶到
2434,事故原因调查组调查,操作,调查
2435,昨日上午景德镇昌江区鱼山镇弯头坞附近客车客车相撞,动作,相撞
2436,其中景德镇开往乐平的客车撞,动作,撞
2437,5人当场死亡,状态变化,死亡
2438,两客车司机身受重伤,状态变化,身受重伤
2439,7月30日晚11时许苏州吴江市苏震桃公路与天鹅荡路十字路口三车追尾,紧急情况,追尾
2440,公安、消防、120等多部门出动,操作,出动
2441,10日晚9时30分永胜县境内的祥(云)宁(蒗)公路线二级公路教基田路段轿车摩托车相撞,动作,相撞
2442,记者昨日了解,感知,了解
2443,据永胜县交警大队介绍,声明,介绍
2444,当晚李某驾驶轿车,操作,驾驶
2445,从期纳公路线开往程海镇,移动,开往
2446,9时30分车行祥宁线二级路教基田路段,动作,行
2447,与驶来的程某驾驶的一辆摩托车相撞,动作,相撞
2448,轿车翻路侧沟中,动作,翻
2449,而轿车驾驶员车上一名乘客一村民受伤,状态变化,受伤
2450,民警赶到现场,移动,赶到
2451,并将伤者送至程海卫生院,移动,送至
2452,相关领导组成“7・10”特大事故处理工作领导小组,动作,组成
2453,死者遗体安葬事宜解决,操作,解决
2454,7月8日晚上7点左右市区勤俭东路铁路立交桥桥洞内两辆电动车相擦,动作,相擦
2455,造成一方女性当事人死亡,状态变化,死亡
2456,另一方男性当事人逃逸,动作,逃逸
2457,交警微博呼吁市民,声明,呼吁
2458,今天上午男性当事人归案,操作,归案
2459,据交警一大队副大队长沈惠忠介绍,声明,介绍
2460,警方7月8日晚上7点21分接到群众,操作,接到
2461,市区勤俭东路铁路立交桥桥洞内有人倒,状态变化,倒
2462,5分钟交警赶到,移动,赶到
2463,好心群众报警,动作,报警
2464,120急救车接到,动作,接到
2465,并将女子送往武警医院,移动,送往
2466,警方翻看监控视频,操作,翻看
2467,可疑男子锁定,操作,锁定
2468,该男子骑电动车,操作,骑
2469,行驶汽车北站旁、禾兴北路、城北路、东升路、百墅路、洪波路、洪兴路、勤俭路,操作,行驶
2470,并在沿线的百花社区超市、百墅路天天农展会、洪波路戴梦得超市出现,操作,出现
2471,警方微博呼吁市民,操作,呼吁
2472,今天上午这名男子归案,操作,归案
2473,近日丰田轿车沪杭高速公路第二车道行驶,动作,行驶
2474,突然莫名其妙地斜穿三四车道,动作,斜穿
2475,重重撞上右边护栏,动作,撞上
2476,巨大的冲击力5根护栏拔起,动作,拔起
2477,后排一名乘客系好安全带,动作,系好
2478,在接受高速交警调查,操作,调查
2479,肇事驾驶员回忆,声明,回忆
2480,就让后排我姐姐听,感知,听
2481,26日16时许五常市沙河镇北沙河村18名农民采山野菜,动作,采
2482,搭载一辆农用时锋三轮车,动作,搭载
2483,雪乡公路78公里处车会车,动作,会车
2484,目前伤者送至五常市人民医院,移动,送至
2485,其中2名伤势较轻的伤者处置,操作,处置
2486,已自行返回家中,移动,返回
2487,还有一人骨折,状态变化,骨折
2488,于昨天凌晨1时许送到哈尔滨市第五医院,移动,送到
2489,8月9日下午1时27分云南昭通巧家县交通事故,紧急情况,交通事故
2490,一辆从巧家县开往昭通的客车行驶该县包谷垴乡,动作,行驶
2491,翻入牛栏江中,动作,翻入
2492,截至昨晚7时24人失踪,状态变化,失踪
2493,青海新闻网讯,声明,讯
2494,8月19日晚315国道德令哈段交通事故,紧急情况,交通事故
2495,一辆从西宁驶往格尔木的夏利轿车一辆从德令哈驶向乌兰的夏利轿车相撞,动作,相撞
2496,其中4人死亡,状态变化,死亡
2497,8月12日上午11时许八大处公园附近的实兴北街和八大处街交叉口一辆水泥搅拌车一骑自行车女孩卷进,动作,卷进
2498,昨天上午11时20分许一辆印有“北京恒坤”字样的水泥搅拌车停十字路口,状态变化,停
2499,后车轮下一辆自行车扭曲变形,声明,扭曲变形
2500,警察正在勘查现场,操作,勘查
2501,一名40岁左右的男子坐地上,动作,坐
2502,中新浙江网7月24日电,声明,电
2503,7月23日下午104国道浙江省温岭市小溪岭樟树湾路段交通事故,紧急情况,交通事故
2504,一辆过境大货车侧翻公路上,动作,侧翻
2505,在事故现场看到,感知,看到
